#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  3.10000000 -0.00157351  0.00000  5.464952E-03  0.756924  3.473773E-05  2.730816E-02  6.965593E-10  1.830508E-07  .209120  0.177498  3.162207E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.20000000 -0.00158335  0.00000  6.105965E-03  0.746887  3.604716E-05  2.753390E-02  1.217771E-09  1.936049E-07  .218297  0.186098  3.219976E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.30000000 -0.00159442  0.00000  6.793428E-03  0.736966  3.747395E-05  2.769868E-02  1.963702E-09  2.041680E-07  .227371  0.194640  3.273122E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.40000000 -0.00160659  0.00000  7.528201E-03  0.727174  3.902044E-05  2.780699E-02  2.973128E-09  2.147210E-07  .236325  0.203108  3.321781E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.50000000 -0.00161978  0.00000  8.311002E-03  0.717520  4.068859E-05  2.786310E-02  4.280000E-09  2.252428E-07  .245144  0.211484  3.366081E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.60000000 -0.00163391  0.00000  9.142398E-03  0.708015  4.248000E-05  2.787104E-02  5.912507E-09  2.357201E-07  .253814  0.219753  3.406151E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.70000000 -0.00164889  0.00000  1.002280E-02  0.698668  4.439588E-05  2.783462E-02  7.892593E-09  2.461522E-07  .262320  0.227899  3.442115E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.80000000 -0.00166465  0.00000  1.095248E-02  0.689489  4.643703E-05  2.775739E-02  1.023583E-08  2.567258E-07  .270648  0.235908  3.474094E-02  0  0  0  0  0  0  mhmodm
300.00000000  3.90000000 -0.00168115  0.00000  1.193154E-02  0.680486  4.860389E-05  2.764273E-02  1.295156E-08  2.642927E-07  .278789  0.243767  3.502208E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.00000000 -0.00169832  0.00000  1.295992E-02  0.671668  5.089646E-05  2.749376E-02  1.604325E-08  2.746286E-07  .286727  0.251462  3.526576E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.10000000 -0.00171611  0.00000  1.403743E-02  0.663043  5.331440E-05  2.731344E-02  1.950894E-08  2.845276E-07  .294454  0.258981  3.547314E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.20000000 -0.00173448  0.00000  1.516371E-02  0.654619  5.585695E-05  2.710452E-02  2.334184E-08  2.941954E-07  .301959  0.266314  3.564538E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.30000000 -0.00175339  0.00000  1.633827E-02  0.646402  5.852299E-05  2.686957E-02  2.753085E-08  3.036599E-07  .309234  0.273451  3.578362E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.40000000 -0.00177281  0.00000  1.756046E-02  0.638399  6.131102E-05  2.661102E-02  3.206125E-08  3.129213E-07  .316271  0.280382  3.588901E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.50000000 -0.00179269  0.00000  1.882949E-02  0.630616  6.421919E-05  2.633113E-02  3.691519E-08  3.219781E-07  .323060  0.287098  3.596269E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.60000000 -0.00181301  0.00000  2.014446E-02  0.623058  6.724532E-05  2.603200E-02  4.207236E-08  3.308167E-07  .329597  0.293592  3.600578E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.70000000 -0.00183375  0.00000  2.150431E-02  0.615730  7.038688E-05  2.571563E-02  4.751042E-08  3.394279E-07  .335877  0.299858  3.601941E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.80000000 -0.00185486  0.00000  2.290789E-02  0.608635  7.364105E-05  2.538387E-02  5.320556E-08  3.478033E-07  .341892  0.305888  3.600472E-02  0  0  0  0  0  0  mhmodm
300.00000000  4.90000000 -0.00187634  0.00000  2.435392E-02  0.601778  7.700472E-05  2.503845E-02  5.913291E-08  3.559348E-07  .347641  0.311679  3.596282E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.00000000 -0.00189816  0.00000  2.584103E-02  0.595161  8.047451E-05  2.468100E-02  6.526767E-08  3.638151E-07  .353120  0.317226  3.589484E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.10000000 -0.00192029  0.00000  2.736774E-02  0.588787  8.404678E-05  2.431303E-02  7.158380E-08  3.714377E-07  .358326  0.322525  3.580188E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.20000000 -0.00194273  0.00000  2.893249E-02  0.582657  8.771769E-05  2.393597E-02  7.805516E-08  3.787967E-07  .363259  0.327574  3.568507E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.30000000 -0.00196546  0.00000  3.053365E-02  0.576773  9.148317E-05  2.355115E-02  8.465578E-08  3.858875E-07  .367916  0.332371  3.554550E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.40000000 -0.00198845  0.00000  3.216951E-02  0.571135  9.533898E-05  2.315981E-02  9.136360E-08  3.927058E-07  .372299  0.336915  3.538427E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.50000000 -0.00201169  0.00000  3.383831E-02  0.565742  9.928074E-05  2.276310E-02  9.815368E-08  3.992486E-07  .376406  0.341204  3.520246E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.60000000 -0.00203518  0.00000  3.553822E-02  0.560596  1.033039E-04  2.236211E-02  1.050105E-07  4.055136E-07  .380241  0.345240  3.500115E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.70000000 -0.00205889  0.00000  3.726740E-02  0.555694  1.074038E-04  2.195785E-02  1.091240E-07  4.114991E-07  .383805  0.349024  3.478141E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.80000000 -0.00208282  0.00000  3.902396E-02  0.551034  1.115758E-04  2.155125E-02  1.172513E-07  4.172045E-07  .387100  0.352556  3.454427E-02  0  0  0  0  0  0  mhmodm
300.00000000  5.90000000 -0.00210695  0.00000  4.080597E-02  0.546616  1.158150E-04  2.114319E-02  1.242707E-07  4.226296E-07  .390128  0.355838  3.429077E-02  0  0  0  0  0  0  mhmodm
300.00000000  6.00000000 -0.00213128  0.00000  4.261152E-02  0.542437  1.201166E-04  2.073446E-02  1.311150E-07  4.277751E-07  .392895  0.358874  3.402193E-02  0  0  0  0  0  0  mhmodm
300.00000000  6.10000000 -0.00215579  0.00000  4.443868E-02  0.538493  1.244758E-04  2.032583E-02  1.378715E-07  4.326424E-07  .395405  0.361667  3.373873E-02  0  0  0  0  0  0  mhmodm
300.00000000  6.20000000 -0.00218048  0.00000  4.628549E-02  0.534782  1.288876E-04  1.991797E-02  1.445472E-07  4.372335E-07  .397661  0.364219  3.344216E-02  0  0  0  0  0  0  mhmodm
300.00000000  6.30000000 -0.00220533  0.00000  4.815005E-02  0.531299  1.333472E-04  1.951153E-02  1.511354E-07  4.415509E-07  .399668  0.366535  3.313317E-02  0  0  0  0  0  0  mhmodm
300.00000000  6.40000000 -0.00223035  0.00000  5.003043E-02  0.528042  1.378498E-04  1.910710E-02  1.576257E-07  4.455976E-07  .401431  0.368619  3.281268E-02  0  0  0  0  0  0  mhmodm
300.00000000  6.50000000 -0.00225552  0.00000  5.192475E-02  0.525005  1.423906E-04  1.870521E-02  1.640068E-07  4.493774E-07  .402957  0.370476  3.248160E-02  0  0  0  0  0  0  mhmodm
